"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1980-Q1","Q1-1980","IDX","Index","0","Units","2010_100","2010=100",38.0948375388252,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1980-Q2","Q2-1980","IDX","Index","0","Units","2010_100","2010=100",38.2128815137107,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1980-Q3","Q3-1980","IDX","Index","0","Units","2010_100","2010=100",38.4102757139943,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1980-Q4","Q4-1980","IDX","Index","0","Units","2010_100","2010=100",39.0717145186378,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1981-Q1","Q1-1981","IDX","Index","0","Units","2010_100","2010=100",39.2222836742519,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1981-Q2","Q2-1981","IDX","Index","0","Units","2010_100","2010=100",39.8301680864889,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1981-Q3","Q3-1981","IDX","Index","0","Units","2010_100","2010=100",40.6287173512727,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1981-Q4","Q4-1981","IDX","Index","0","Units","2010_100","2010=100",40.4652502791628,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1982-Q1","Q1-1982","IDX","Index","0","Units","2010_100","2010=100",40.1271005553815,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1982-Q2","Q2-1982","IDX","Index","0","Units","2010_100","2010=100",40.524132071861,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1982-Q3","Q3-1982","IDX","Index","0","Units","2010_100","2010=100",40.2255172660342,,
